filename,label,max_corr,min_hamming,closest_first_1500,screening_note,why_safe_to_show
4779.jpg,crack,0.588,73,426.jpg (mirrored),"Grey-green bumper crack beside the fog-lamp recess; kerb and pavement behind; no plate, face or badge.","Outside the first 1,500 rows of train.csv and no near-copy of any of them (both orientations: at least 40 of 256 bits apart, correlation below 0.7), so neither the photo nor a twin was in the fine-tune's training, validation or test data; screened by hand; shown at most 256 px on the long side."
4150.jpg,crack,0.51,74,11.jpg,"White front bumper corner with a branching crack beside two small round lamps; garage floor; the car behind is out of focus with nothing legible; no plate, face or badge.","Outside the first 1,500 rows of train.csv and no near-copy of any of them (both orientations: at least 40 of 256 bits apart, correlation below 0.7), so neither the photo nor a twin was in the fine-tune's training, validation or test data; screened by hand; shown at most 256 px on the long side."
3050.jpg,scratch,0.598,53,775.jpg,"Pale blue rear quarter with dark scratch marks above the wheel; street behind; no plate, face or badge.","Outside the first 1,500 rows of train.csv and no near-copy of any of them (both orientations: at least 40 of 256 bits apart, correlation below 0.7), so neither the photo nor a twin was in the fine-tune's training, validation or test data; screened by hand; shown at most 256 px on the long side."
5201.jpg,scratch,0.366,84,470.jpg,"Close crop of a grey panel with dark scrape marks against a blurred background; no plate, face or badge.","Outside the first 1,500 rows of train.csv and no near-copy of any of them (both orientations: at least 40 of 256 bits apart, correlation below 0.7), so neither the photo nor a twin was in the fine-tune's training, validation or test data; screened by hand; shown at most 256 px on the long side."
1525.jpg,tire flat,0.57,62,987.jpg (mirrored),"Close-up of a flat tyre on a white five-spoke alloy wheel on paving; no plate, face or badge.","Outside the first 1,500 rows of train.csv and no near-copy of any of them (both orientations: at least 40 of 256 bits apart, correlation below 0.7), so neither the photo nor a twin was in the fine-tune's training, validation or test data; screened by hand; shown at most 256 px on the long side."
6747.jpg,tire flat,0.583,46,1359.jpg (mirrored),"Silver car with a flat tyre on a hubcapped wheel, fallen leaves on the asphalt; no plate, face or badge.","Outside the first 1,500 rows of train.csv and no near-copy of any of them (both orientations: at least 40 of 256 bits apart, correlation below 0.7), so neither the photo nor a twin was in the fine-tune's training, validation or test data; screened by hand; shown at most 256 px on the long side."
5395.jpg,dent,0.618,48,1422.jpg,"Silver front door with a deep dent below the wing mirror; no plate, face or badge.","Outside the first 1,500 rows of train.csv and no near-copy of any of them (both orientations: at least 40 of 256 bits apart, correlation below 0.7), so neither the photo nor a twin was in the fine-tune's training, validation or test data; screened by hand; shown at most 256 px on the long side."
7192.jpg,dent,0.438,83,416.jpg,"Grey car with a crumpled rear door and wing, primer showing through; reflections of trees in the windows; no plate, face or badge.","Outside the first 1,500 rows of train.csv and no near-copy of any of them (both orientations: at least 40 of 256 bits apart, correlation below 0.7), so neither the photo nor a twin was in the fine-tune's training, validation or test data; screened by hand; shown at most 256 px on the long side."
2543.jpg,glass shatter,0.547,82,745.jpg (mirrored),Shattered windscreen seen across the wing; wing mirror and dark foliage behind; nobody in frame.,"Outside the first 1,500 rows of train.csv and no near-copy of any of them (both orientations: at least 40 of 256 bits apart, correlation below 0.7), so neither the photo nor a twin was in the fine-tune's training, validation or test data; screened by hand; shown at most 256 px on the long side."
4443.jpg,glass shatter,0.478,77,645.jpg (mirrored),"Rear window of a blue hatchback smashed open, empty seats visible through it; hedge behind; no plate, face or badge.","Outside the first 1,500 rows of train.csv and no near-copy of any of them (both orientations: at least 40 of 256 bits apart, correlation below 0.7), so neither the photo nor a twin was in the fine-tune's training, validation or test data; screened by hand; shown at most 256 px on the long side."
6101.jpg,lamp broken,0.534,75,985.jpg,"Red car with a smashed headlamp and a crumpled bonnet; no plate, face or badge in frame.","Outside the first 1,500 rows of train.csv and no near-copy of any of them (both orientations: at least 40 of 256 bits apart, correlation below 0.7), so neither the photo nor a twin was in the fine-tune's training, validation or test data; screened by hand; shown at most 256 px on the long side."
4597.jpg,lamp broken,0.631,57,775.jpg (mirrored),"Cracked red tail lamp on a black car, close crop; chrome trim strip at the left; no plate, face, badge or logo, and no person in the small reflection.","Outside the first 1,500 rows of train.csv and no near-copy of any of them (both orientations: at least 40 of 256 bits apart, correlation below 0.7), so neither the photo nor a twin was in the fine-tune's training, validation or test data; screened by hand; shown at most 256 px on the long side."
